control_mode , commmand_nav , roll         , pitch        , yaw          , altitude     , airspeed     , yaw_nav      , yaw_error    , altitude_nav , roll_L1      , pitch_TECS   , throttle_TECS, aileron_rc   , elevator_rc  , rudder_rc    , throttle_rc  , aileron      , elevator     , rudder       , throttle     , debug1       , debug2       , debug3       , debug4       
10.000000    , 22.000000    , 0.001526     , 0.022138     , -2.705463    , -0.010000    , 0.001117     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001526    , 0.000786     , -0.000763    , 4.999888     , 0.000000     , -0.001526    , 0.030001     , 49.998882    
10.000000    , 22.000000    , 0.001526     , 0.022150     , -2.705463    , -0.010000    , 0.000994     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001526    , 0.000785     , -0.000763    , 4.999900     , 0.000000     , -0.001526    , 0.030001     , 49.999004    
10.000000    , 22.000000    , 0.001526     , 0.022159     , -2.705463    , -0.010000    , 0.000879     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001526    , 0.000784     , -0.000763    , 4.999912     , 0.000000     , -0.001526    , 0.030001     , 49.999119    
10.000000    , 22.000000    , 0.001526     , 0.022171     , -2.705463    , -0.010000    , 0.000707     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001526    , 0.000783     , -0.000763    , 4.999929     , 0.000000     , -0.001526    , 0.030001     , 49.999294    
10.000000    , 22.000000    , 0.001526     , 0.022175     , -2.705463    , -0.010000    , 0.000618     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001526    , 0.000783     , -0.000763    , 4.999938     , 0.000000     , -0.001526    , 0.030001     , 49.999382    
10.000000    , 22.000000    , 0.001525     , 0.022183     , -2.705462    , -0.010000    , 0.000413     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001525    , 0.000782     , -0.000763    , 4.999959     , 0.000000     , -0.001525    , 0.030001     , 49.999588    
10.000000    , 22.000000    , 0.001525     , 0.022186     , -2.705461    , -0.010000    , 0.000293     , -2.705462    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001525    , 0.000781     , -0.000762    , 4.999971     , 0.000000     , -0.001525    , 0.030001     , 49.999706    
10.000000    , 22.000000    , 0.001524     , 0.022189     , -2.705461    , -0.010000    , 0.000210     , -2.705462    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001524    , 0.000781     , -0.000762    , 4.999979     , 0.000000     , -0.001524    , 0.030001     , 49.999790    
10.000000    , 22.000000    , 0.001523     , 0.022189     , -2.705460    , -0.010000    , 0.000094     , -2.705462    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001523    , 0.000781     , -0.000762    , 4.999990     , 0.000000     , -0.001523    , 0.030001     , 49.999905    
10.000000    , 22.000000    , 0.001523     , 0.022189     , -2.705460    , -0.010000    , 0.000080     , -2.705462    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001523    , 0.000781     , -0.000761    , 4.999992     , 0.000000     , -0.001523    , 0.030001     , 49.999920    
